cosecha,mora30_jun2026_pct,mora30_jul2026_pct,delta_pp,mora_que_salio_cop
202201,0.0,0.0,0.0,0
202202,5.33,0.0,-5.33,13067450
202203,12.56,0.0,-12.56,35110305
202204,3.6,0.16,-3.44,10241495
202205,4.35,0.0,-4.35,10047168
202206,6.75,0.0,-6.75,14969127
202207,4.16,0.0,-4.16,7858049
202208,5.06,0.98,-4.08,9542999
202209,4.59,0.0,-4.59,10244558
202210,7.61,0.0,-7.61,8418548
202211,3.23,0.53,-2.7,3588958
202212,4.24,0.0,-4.24,5935551
202301,6.5,2.55,-3.96,7660470
202302,6.84,2.31,-4.53,14017312
202303,3.07,0.53,-2.54,8588201
202304,7.88,1.43,-6.45,19568735
202305,11.33,3.99,-7.34,22911170
202306,6.34,1.44,-4.9,10357143
202307,5.62,0.84,-4.78,10828417
202308,6.06,3.57,-2.49,11918354
202309,7.97,3.37,-4.59,12532662
202310,1.3,1.2,-0.11,171615
202311,5.11,5.02,-0.09,162111
202312,4.16,4.17,0.01,-24321
202401,0.0,0.0,0.0,0
202402,0.75,0.84,0.09,-260888
202403,4.58,2.83,-1.74,4413362
202404,8.67,8.05,-0.62,941608
202405,1.14,1.08,-0.06,135283
202406,1.08,0.62,-0.46,1068868
202407,2.62,2.32,-0.31,764613
202408,4.3,3.87,-0.43,980650
202409,4.72,0.68,-4.04,9641988
202410,0.67,0.8,0.13,-329945
202411,5.98,6.12,0.14,-354175
202412,1.59,1.61,0.01,-54886
202501,6.62,7.05,0.42,-1310562
202502,1.84,2.66,0.81,-2412818
202503,3.03,3.23,0.2,-784606
202504,1.32,1.53,0.22,-694992
202505,0.97,1.08,0.11,-405340
202506,3.97,3.56,-0.41,1154996
202507,1.48,2.15,0.67,-2470019
202508,3.04,3.62,0.59,-1711810
202509,2.92,3.38,0.46,-1394496
202510,0.46,1.14,0.68,-2567598
202511,0.84,1.08,0.24,-958454
202512,1.07,1.2,0.14,-649913
202601,0.56,1.39,0.84,-3480973
202602,0.06,0.25,0.2,-960235
202603,0.48,1.05,0.58,-2483956
202604,0.18,0.19,0.01,-35660
