corte,pagare,deudor_id,agencia,f_desemb,saldo_cap,saldo_mora,dias_mora,cuotas_mora,plazo,tasa,valor_gar,cap_ini,categoria,linea,empresa,garantia,asesor,destino,fecha_reest,nro_reest,cosecha
2026-02,11390,b0e2397e2797,1,2021-10-03,1056101.0,1056101.0,779,4.0,30,3.79999999999813,5131228,,E,CARTERA CREDITOS AGUACHICA -HERO   CATEGORIA A GA SL CORTO PLAZO,INDEPENDIENTES,PRENDA,,CREDITO MOTO,1900-01-01,0,2021-10
2026-02,11391,c3c3bb20b7e4,1,2021-10-17,4364621.0,4364621.0,1245,19.24,30,3.79999999999813,5740000,,E,CARTERA CREDITOS AGUACHICA -HERO   CATEGORIA A GA SL CORTO PLAZO,INDEPENDIENTES,PRENDA SIN CODEUDOR,,CREDITO MOTO,1900-01-01,0,2021-10
2026-02,11402,2272806fd024,1,2021-10-04,1436033.0,1436033.0,928,2.93,24,3.79999999999813,8200000,,E,CARTERA CREDITOS AGUACHICA -HERO   CATEGORIA A GA SL CORTO PLAZO,INDEPENDIENTES,PRENDA,,CREDITO MOTO,1900-01-01,0,2021-10
2026-02,11428,8bfc8d4aff5f,1,2021-11-03,2019066.0,2019066.0,1109,10.0,24,3.79999999999813,3835910,,E,CARTERA CREDITOS AGUACHICA -HERO   CATEGORIA A GA SL CORTO PLAZO,INDEPENDIENTES,PRENDA SIN CODEUDOR,,CREDITO MOTO,1900-01-01,0,2021-11
2026-02,11431,020a7b5179cf,1,2021-11-17,1409742.0,1409742.0,1185,7.0,18,3.79999999999813,3000000,,E,CARTERA CREDITOS AGUACHICA -HERO   CATEGORIA A GA SL CORTO PLAZO,INDEPENDIENTES,PRENDA,,CREDITO MOTO,1900-01-01,0,2021-11
2026-02,11523,35c4444967fd,1,2022-02-03,4008493.0,4008493.0,1229,17.0,24,3.79999999999813,5049000,,E,CARTERA CREDITOS AGUACHICA -HERO   CATEGORIA A GA SL CORTO PLAZO,INDEPENDIENTES,PRENDA,,CREDITO MOTO,1900-01-01,0,2022-02
2026-02,11524,a2d88c030456,1,2022-02-03,4918543.0,4918543.0,1289,19.0,24,3.79999999999813,5730000,,E,CARTERA CREDITOS AGUACHICA -HERO   CATEGORIA A GA SL CORTO PLAZO,INDEPENDIENTES,PRENDA SIN CODEUDOR,,CREDITO MOTO,1900-01-01,0,2022-02
2026-02,11581,516bac0da23f,1,2022-03-03,5700507.0,5700507.0,1259,25.0,30,3.79999999999813,6330000,,E,CARTERA CREDITOS AGUACHICA -HERO   CATEGORIA A GA SL CORTO PLAZO,INDEPENDIENTES,PRENDA SIN CODEUDOR,,CREDITO MOTO,1900-01-01,0,2022-03
2026-02,11652,39f46a63b4a2,1,2022-04-03,3393982.0,3393982.0,1049,12.98,24,3.79999999999813,5230000,,E,CARTERA CREDITOS AGUACHICA -HERO   CATEGORIA A GA SL CORTO PLAZO,INDEPENDIENTES,PRENDA,,CREDITO MOTO,1900-01-01,0,2022-04
2026-02,11690,17a36486c207,1,2022-04-17,3973347.0,3973347.0,1095,14.98,24,3.79999999999813,5489000,,E,CARTERA CREDITOS AGUACHICA -HERO   CATEGORIA A GA SL CORTO PLAZO,EMPLEADOS DISTRICOLMOTOS S.A.S.,PRENDA,,CREDITO MOTO,1900-01-01,0,2022-04
