cosecha,colocacion_cop,mora30_mob6_pct,mora30_mob12_pct,mora30_mob18_pct
202201,55097312.0,,6.73,10.28
202202,245178663.0,,2.13,5.53
202203,279576936.0,,3.2,7.1
202204,297563150.0,,1.52,4.7
202205,230867300.0,,2.59,3.8
202206,221895200.0,,2.0,6.38
202207,189050320.0,0.56,2.29,2.79
202208,233812910.0,2.42,2.68,5.11
202209,223235785.0,1.24,4.11,3.62
202210,110661509.0,0.34,0.69,3.08
202211,132856900.0,0.49,2.1,0.89
202212,139827587.0,0.77,1.4,3.47
202301,193489500.0,0.35,1.75,5.13
202302,309499405.0,0.51,2.78,5.15
202303,338121277.0,0.85,3.82,5.31
202304,303530500.0,2.34,7.42,9.12
202305,312218550.0,2.43,8.49,9.7
202306,211199500.0,2.78,4.55,7.59
202307,226332000.0,1.35,2.7,2.62
202308,479600600.0,1.53,3.7,3.52
202309,272967000.0,4.29,6.22,6.4
202310,160478000.0,1.49,5.19,5.0
202311,183336500.0,1.83,3.72,3.3
202312,298000000.0,1.84,2.01,3.8
202401,218176500.0,0.88,1.5,1.41
202402,290504900.0,1.7,0.96,1.27
202403,253096165.0,1.2,2.8,3.89
202404,152859000.0,1.01,3.2,5.93
202405,237863104.0,1.08,3.2,2.4
202406,232335500.0,0.78,2.3,1.49
202407,248776200.0,0.79,2.33,2.4
202408,226256200.0,1.5,2.66,3.66
202409,238511050.0,1.4,2.83,5.02
202410,261041550.0,0.5,0.55,0.86
202411,251087500.0,0.8,3.92,6.94
202412,396696088.0,1.8,1.96,1.59
202501,308388600.0,1.53,3.31,
202502,296891900.0,0.39,2.02,
202503,395213650.0,1.1,2.67,
202504,321262050.0,0.43,1.39,
202505,370136950.0,0.35,1.15,
202506,280455080.0,2.55,3.97,
202507,367468567.0,1.06,,
202508,291922409.0,1.61,,
202509,303395800.0,1.87,,
202510,378048600.0,0.63,,
202511,401112150.0,0.61,,
202512,476906318.0,1.07,,
202601,416485304.0,,,
202602,486475300.0,,,
202603,431751700.0,,,
202604,507358500.0,,,
202605,458037900.0,,,
202606,355260700.0,,,
202607,548268500.0,,,
202608,397540050.0,,,
