anio_cosecha,mob,mora30_pct,cosechas_observadas
2022,12,2.463,12
2022,13,2.65,12
2022,14,2.826,12
2022,15,3.253,12
2022,16,3.735,12
2022,17,4.139,12
2022,18,4.692,12
2022,19,5.289,12
2022,20,5.974,12
2022,21,6.483,12
2022,22,7.208,12
2022,23,7.969,12
2022,24,8.267,12
2022,25,7.85,12
2022,26,7.83,12
2022,27,8.03,12
2022,28,8.091,12
2022,29,7.878,12
2022,30,7.954,12
2022,31,7.497,12
2022,32,7.494,12
2022,33,7.53,12
2022,34,7.123,12
2022,35,6.888,12
2022,36,6.781,12
2023,0,0.0,12
2023,1,0.0,12
2023,2,0.623,12
2023,3,0.665,12
2023,4,0.842,12
2023,5,1.324,12
2023,6,1.794,12
2023,7,2.162,12
2023,8,2.587,12
2023,9,2.906,12
2023,10,3.549,12
2023,11,3.708,12
2023,12,4.424,12
2023,13,4.412,12
2023,14,4.475,12
2023,15,4.802,12
2023,16,5.062,12
2023,17,5.324,12
2023,18,5.58,12
2023,19,5.826,12
2023,20,5.991,12
2023,21,6.204,12
2023,22,6.456,12
2023,23,6.636,12
2023,24,6.806,12
2023,25,6.981,12
2023,26,7.211,12
2023,27,7.489,12
2023,28,7.564,12
2023,29,7.778,12
2023,30,7.78,12
2024,0,0.0,12
2024,1,0.015,12
2024,2,0.212,12
2024,3,0.231,12
2024,4,0.621,12
2024,5,0.839,12
2024,6,1.163,12
2024,7,1.238,12
2024,8,1.423,12
2024,9,1.684,12
2024,10,1.818,12
2024,11,2.017,12
2024,12,2.281,12
2024,13,2.33,12
2024,14,2.19,12
2024,15,2.521,12
2024,16,2.729,12
2024,17,2.907,12
2024,18,2.894,12
2025,0,0.0,12
2025,1,0.016,12
2025,2,0.407,12
2025,3,0.516,12
2025,4,0.676,12
2025,5,0.891,12
2025,6,1.056,12
2026,0,0.0,4
2026,1,0.016,4
2026,2,0.147,4
