dimension,segmento,creditos,capital_originado_cop,mora30_pct
Punto de venta,PTO BERRIO,154,739308700.0,22.26
Punto de venta,PTO BOYACA,95,428859400.0,22.09
Punto de venta,CARTAGENA - SUZUKI,211,1205433291.0,16.23
Punto de venta,PUERTO BERRIO -AKT #2,139,688465310.0,12.79
Punto de venta,AGUACHICA -HERO,155,823523905.0,11.71
Punto de venta,SUZUKI- VALLEDUPAR,239,1441209650.0,10.45
Punto de venta,SUZUKI- PTO BERRIO,75,468887050.0,2.25
Tipo de garantía,PRENDA,456,2401350794.0,15.1
Tipo de garantía,PRENDA SIN CODEUDOR,619,3458553612.0,12.51
Plazo,Hasta 12m,302,1547714297.0,11.92
Plazo,13-18m,225,1192324017.0,13.32
Plazo,19-24m,440,2418198692.0,14.46
Plazo,25-36m,114,735486500.0,14.61
Tipo de deudor,EMPLEADOS DISTRICOLMOTOS S.A.S.,74,439960682.0,19.07
Tipo de deudor,INDEPENDIENTES,1008,5460552824.0,13.12
