cosecha,mob,mora30_pct
202207,36,4.52
202208,35,5.56
202209,34,4.26
202210,33,9.31
202211,32,3.23
202212,31,5.74
202301,30,9.35
202302,29,9.37
202303,28,4.7
202304,27,12.44
202305,26,12.84
202306,25,10.88
202307,24,5.56
202308,23,6.48
202309,22,10.09
202310,21,3.88
202311,20,3.48
202312,19,3.7
202401,18,1.41
202402,17,1.11
202403,16,4.08
202404,15,5.02
202405,14,3.26
202406,13,1.04
202407,12,2.33
202408,11,2.64
202409,10,2.29
202410,9,0.35
202411,8,1.64
202412,7,1.25
202501,6,1.53
202502,5,0.62
202503,4,0.75
202504,3,0.09
202505,2,0.35
202506,1,0.13
202507,0,0.0
202208,36,5.54
202209,35,4.42
202210,34,9.31
202211,33,3.23
202212,32,5.74
202301,31,9.13
202302,30,9.8
202303,29,3.88
202304,28,12.94
202305,27,13.03
202306,26,10.54
202307,25,5.54
202308,24,6.46
202309,23,10.2
202310,22,2.05
202311,21,4.02
202312,20,4.05
202401,19,1.29
202402,18,1.27
202403,17,4.42
202404,16,5.12
202405,15,3.35
202406,14,1.05
202407,13,2.36
202408,12,2.66
202409,11,2.58
202410,10,0.26
202411,9,1.94
202412,8,1.44
202501,7,2.22
202502,6,0.39
202503,5,0.85
202504,4,0.07
202505,3,0.06
202506,2,0.0
202507,1,0.0
202508,0,0.0
202209,36,4.59
202210,35,9.31
202211,34,3.23
202212,33,5.19
202301,32,9.04
202302,31,9.89
202303,30,4.06
202304,29,12.84
202305,28,13.72
202306,27,10.38
202307,26,6.18
202308,25,6.23
202309,24,9.85
202310,23,0.57
202311,22,4.55
202312,21,4.2
202401,20,1.44
202402,19,1.18
202403,18,3.89
202404,17,4.77
202405,16,3.06
202406,15,1.25
202407,14,0.87
202408,13,3.0
202409,12,2.83
202410,11,0.48
202411,10,2.96
202412,9,1.6
202501,8,2.24
202502,7,0.65
202503,6,1.1
202504,5,0.16
202505,4,0.28
202506,3,0.08
202507,2,0.19
202508,1,0.0
202509,0,0.0
202210,36,9.31
202211,35,3.23
202212,34,4.5
202301,33,8.93
202302,32,9.98
202303,31,3.92
202304,30,11.91
202305,29,14.17
202306,28,10.52
